128,0388,"Plain Cardinalfish, (Apogon atricaudus)","Cardinalfish, (Apogonidae)",0.84,2.13,2.23,2,0.29,2.5
129,0066,"Unidentified Rockfish, (Sebastes sp.)","Scorpionfish, (Scorpaenidae)",0.84,1.81,0.19,1,1.09,1.87
130,0124,"Walleye Surfperch, (Hyperprosopon argenteum)","Surfperch, (Embiotocidae)",0.78,2,0.74,1.75,0.8,2.09
131,0126,"Unidentified Surfperch, (Embiotocidae spp.)","Surfperch, (Embiotocidae)",0.73,2,0.37,2,0.87,2
132,0125,"White Seaperch, (Phanerodon furcatus)","Surfperch, (Embiotocidae)",0.73,2.29,0.37,1.5,0.87,2.42
133,0234,"Deepwater Blenny, (Cryptotrema corallinum)","Labrisomids, (Labrisomidae)",0.68,1.69,0.93,2,0.58,1.5
134,0369,"Unidentified Flatfish, (Bothidae sp.)","Lefteye Flounder, (Bothidae)",0.68,1.23,0.37,1,0.8,1.27
135,0174,"Eccentric Sand Dollar, (Dendraster excentricus)","Echinoderms, (Echinodermata)",0.64,2.67,0.74,2.33,0.56,3
136,0047,"Bocaccio, (Sebastes paucispinis)","Scorpionfish, (Scorpaenidae)",0.63,1.67,1.3,1.71,0.36,1.6
137,0093,"Swell Shark, (Cephaloscyllium ventriosum)","Cat Shark, (Scyliorhinidae)",0.63,1.33,0.74,1.5,0.58,1.25
138,0240,"Finescale Triggerfish, (Balistes polylepis)","Leatherjacket, (Balistidae)",0.47,1,0.56,1,0.44,1
139,0155,"Northern Kelp Crab, (Pugettia producta)","Arthropods, (Arthropoda)",0.43,1,0.74,1,0.19,1
140,0387,"Largemouth Blenny, (Labrisomus xanti)","Labrisomids, (Labrisomidae)",0.42,1.75,1.3,1.86,0.07,1
141,0004,"Spotted Sand Bass, (Paralabrax maculatofasciatus)","Sea Bass, (Serranidae)",0.42,1.75,0.37,1.5,0.44,1.83
142,0042,"Yellowfin Croaker, (Umbrina roncador)","Drum, (Sciaenidae)",0.42,2,0,0,0.58,2
143,0034,"Black Croaker, (Cheilotrema saturnum)","Drum, (Sciaenidae)",0.37,2,0.93,2,0.15,2
144,0073,"Lavender Sculpin, (Leiocottus hirundo)","Sculpin, (Cottidae)",0.37,1,0.56,1,0.29,1
145,0110,"Orangethroat Pikeblenny, (Chaenopsis alepidota)","Blenny (pike, tube and flag), (Chaenopsidae)",0.37,1.43,0.74,1.5,0.22,1.33
146,0031,"Rock Greenling, (Hexagrammos lagocephalus)","Greenling, (Hexagrammidae)",0.37,1.71,0.19,2,0.44,1.67
147,0419,"San Diego Dorid / Leopard Dorid, (Diaulula sandiegensis / odonoghuei)","Mollusks, (Mollusca)",0.32,1,0.74,1,0,0
148,0113,"Barred Surfperch, (Amphistichus argenteus)","Surfperch, (Embiotocidae)",0.31,1.83,0.19,1,0.36,2
149,0050,"Calico Rockfish, (Sebastes dalli)","Scorpionfish, (Scorpaenidae)",0.31,1.5,0.37,1,0.29,1.75
150,0060,"Starry Rockfish, (Sebastes constellatus)","Scorpionfish, (Scorpaenidae)",0.31,1.5,0.37,1,0.29,1.75
151,0083,"Blue Shark, (Prionace glauca)","Requiem Shark, (Carcharhinidae)",0.26,1,0.37,1,0.22,1
152,0115,"Dwarf Perch, (Micrometrus miminus)","Surfperch, (Embiotocidae)",0.26,2.4,0.19,3,0.29,2.25
153,0461,"Green Sea Turtle, (Chelonia mydas)","Sea Turtles, (Cheloniidae)",0.26,1,0.19,1,0.29,1
154,0059,"Rosy Rockfish, (Sebastes rosaceus)","Scorpionfish, (Scorpaenidae)",0.26,1.6,0.74,1.5,0.07,2
155,0017,"Spotted Cusk-eel, (Chilara taylori)","Cusk-Eel, (Ophidiidae)",0.26,1.6,0.37,1.5,0.22,1.67
156,0094,"Thornback, (Platyrhinoidis triseriata)","Guitarfish, (Rhinobatidae)",0.26,1,0.37,1,0.22,1
157,0400,"Brown Rock Crab, (Cancer antennarius)","Arthropods, (Arthropoda)",0.21,1,0.25,1,0.19,1
158,0009,"Decorated Warbonnet, (Chirolophis decoratus)","Prickleback, (Stichaeidae)",0.21,1.75,0,0,0.29,1.75
159,0101,"Pacific Bonito, (Sarda chiliensis)","Mackerel, (Scombridae)",0.21,2.5,0.19,3,0.22,2.33
160,0472,"Tope Shark, (Galeorhinus galeus)","Houndsharks, (Triakidae)",0.21,1.25,0.19,2,0.22,1
161,0130,"Unidentified Pipefish, (Syngnathidae spp.)","Pipefish & Seahorse, (Syngnathidae)",0.21,2,0.19,1,0.22,2.33
162,0041,"White Seabass, (Atractoscion nobilis)","Drum, (Sciaenidae)",0.21,2,0.19,1,0.22,2.33
163,0018,"Yellowfin Fringehead, (Neoclinus stephensae)","Blenny (pike, tube and flag), (Chaenopsidae)",0.21,1,0.19,1,0.22,1
164,0298,"Roughback Sculpin, (Chitonotus pugetensis)","Sculpin, (Cottidae)",0.16,1.33,0.37,1.5,0.07,1
165,0016,"Sarcastic Fringehead, (Neoclinus blanchardi)","Blenny (pike, tube and flag), (Chaenopsidae)",0.16,1.33,0,0,0.22,1.33
166,0027,"Spotted Turbot, (Pleuronichthys ritteri)","Righteye Flounder, (Pleuronectidae)",0.16,1.33,0,0,0.22,1.33
167,0494,"Treefish YOY, (Sebastes serriceps (YOY))","Scorpionfish, (Scorpaenidae)",0.16,2.33,0.56,2.33,0,0
168,0008,"Wolf-eel, (Anarrhichthys ocellatus)","Wolffish, (Anarhichadidae)",0.16,1.67,0,0,0.22,1.67
169,0437,"Stalked Tunicate, (Styela montereyensis)","Urochordates, (Urochordata)",0.11,1,0.25,1,0,0
170,0487,"Blue Rockfish (was Blue-blotched species), (Sebastes mystinus)","Scorpionfish, (Scorpaenidae)",0.1,1.5,0.19,1,0.07,2
171,0379,"Bluebanded Ronquil (R. hypoplecta), (Rathbunella hypoplecta)","Ronquil, (Bathymasteridae)",0.1,1,0,0,0.15,1
172,0132,"Ocean Sunfish, (Mola mola)","Mola, (Molidae)",0.1,1.5,0,0,0.15,1.5
173,0102,"Pacific Herring, (Clupea pallasii)","Herring, (Clupeidae)",0.1,3.5,0,0,0.15,3.5
174,0024,"Pacific Sanddab, (Citharichthys sordidus)","Lefteye Flounder, (Bothidae)",0.1,1.5,0.19,1,0.07,2
175,0278,"Padded Sculpin, (Artedius fenestralis)","Sculpin, (Cottidae)",0.1,1,0.19,1,0.07,1
176,0134,"Plainfin Midshipman, (Porichthys notatus)","Toadfish, (Batrachoididae)",0.1,1,0,0,0.15,1
177,0076,"Red Irish Lord, (Hemilepidotus hemilepidotus)","Sculpin, (Cottidae)",0.1,1,0,0,0.15,1
178,0091,"Spiny Dogfish, (Squalus suckleyi)","Dogfish Shark, (Squalidae)",0.1,1,0,0,0.15,1
179,0028,"Starry Flounder, (Platichthys stellatus)","Righteye Flounder, (Pleuronectidae)",0.1,1,0,0,0.15,1
180,0533,"Whitetail Damselfish, (Stegastes leucorus)","Damselfish, (Pomacentridae)",0.1,1,0.19,1,0.07,1
181,0065,"Yellowtail Rockfish, (Sebastes flavidus)","Scorpionfish, (Scorpaenidae)",0.1,2.5,0,0,0.15,2.5
182,0205,"Banded Guitarfish, (Zapteryx exasperata)","Guitarfish, (Rhinobatidae)",0.05,1,0,0,0.07,1
183,0210,"Bay Goby, (Lepidogobius lepidus)","Goby, (Gobiidae)",0.05,3,0.19,3,0,0
184,0067,"Brown Irish Lord, (Hemilepidotus spinosus)","Sculpin, (Cottidae)",0.05,3,0,0,0.07,3
185,0068,"Buffalo Sculpin, (Enophrys bison)","Sculpin, (Cottidae)",0.05,3,0,0,0.07,3
186,0225,"Bullseye Puffer, (Sphoeroides annulatus)","Puffer, (Tetraodontidae)",0.05,1,0.19,1,0,0
187,0344,"California Butterfly Ray, (Gymnura marmorata)","Butterfly Ray, (Gymnuridae)",0.05,1,0.19,1,0,0
188,0049,"Canary Rockfish, (Sebastes pinniger)","Scorpionfish, (Scorpaenidae)",0.05,1,0,0,0.07,1
189,0239,"English Sole, (Parophrys vetulus)","Righteye Flounder, (Pleuronectidae)",0.05,2,0,0,0.07,2
190,0023,"Fantail Sole, (Xystreurys liolepis)","Lefteye Flounder, (Bothidae)",0.05,2,0.19,2,0,0
191,0012,"Kelp Gunnel, (Ulvicola sanctaerosae)","Gunnel, (Pholidae)",0.05,1,0.19,1,0,0
192,0264,"Mexican Goatfish, (Mulloidichthys dentatus)","Goatfish, (Mullidae)",0.05,2,0,0,0.07,2
193,0135,"Northern Clingfish, (Gobiesox maeandricus)","Clingfish, (Gobiesocidae)",0.05,2,0.19,2,0,0
194,0543,"Panamic Fanged Blenny, (Ophioblennius steindachneri)","Combtooth Blenny, (Blenniidae)",0.05,1,0.19,1,0,0
195,0279,"Pelagic Stingray, (Dasyatis violacea)","Stingray, (Dasyatidae)",0.05,1,0.19,1,0,0
196,0281,"Popeye Catalufa, (Pristigenys serrula)","Bigeye, (Priacanthidae)",0.05,1,0.19,1,0,0
197,0284,"Purple Brotula, (Oligopus diagrammus)","Viviparous Brotula, (Bythitidae)",0.05,1,0,0,0.07,1
198,0058,"Quillback Rockfish, (Sebastes maliger)","Scorpionfish, (Scorpaenidae)",0.05,2,0,0,0.07,2
199,0292,"Rex Sole, (Glyptocephalus zachirus)","Righteye Flounder, (Pleuronectidae)",0.05,1,0.19,1,0,0
200,0296,"Rockpool Blenny, (Hypsoblennius gilberti)","Combtooth Blenny, (Blenniidae)",0.05,1,0.19,1,0,0
201,0077,"Roughcheek Sculpin, (Ruscarius creaseri)","Sculpin, (Cottidae)",0.05,2,0.19,2,0,0
202,0121,"Sharpnose Seaperch, (Phanerodon atripes)","Surfperch, (Embiotocidae)",0.05,2,0.19,2,0,0
203,0322,"Snake Prickleback, (Lumpenus sagitta)","Prickleback, (Stichaeidae)",0.05,2,0.19,2,0,0
204,0349,"Striped Bass, (Morone saxatilis)","Temperate Bass, (Moronidae)",0.05,2,0,0,0.07,2
205,0333,"Striped Kelpfish, (Gibbonsia metzi)","Clinid, (Clinidae)",0.05,1,0.19,1,0,0
206,0080,"Sturgeon Poacher, (Podothecus accipenserinus)","Poacher, (Agonidae)",0.05,2,0,0,0.07,2
207,0061,"Tiger Rockfish, (Sebastes nigrocinctus)","Scorpionfish, (Scorpaenidae)",0.05,2,0,0,0.07,2
208,0389,"Unidentified Crevice/Spotted Kelpfish, (Gibbonsia spp.)","Clinid, (Clinidae)",0.05,1,0,0,0.07,1
209,0499,"Unidentified Silvery Baitfish, (Atherinidae, Clupeidae, and Engraulidae)","Silvery Fishes - Silversides, Herrings, and Anchovies, (Atherinidae, Clupeidae, and Engraulidae)",0.05,4,0,0,0.07,4
210,0064,"Yelloweye Rockfish, (Sebastes ruberrimus)","Scorpionfish, (Scorpaenidae)",0.05,2,0,0,0.07,2
